intensity,readability,perplexity,lex_diversity
4,-36.28528041825095,1219.360107421875,0.43757431629013077
5,48.263372093023264,55.888404846191406,0.3986820428336079
1,24.04746753246755,48.409236907958984,0.5637982195845698
2,8.365535714285727,262.89556884765625,0.5966029723991507
3,28.334367789570848,300.6500244140625,0.5847255369928401
4,29.994772445820445,113.81136322021484,0.6312849162011173
5,23.67156771799631,344.6662292480469,0.6162790697674418
1,14.58799465240645,313.13128662109375,0.2880698351115422
2,15.48489935298349,122.88931274414062,0.5831533477321814
3,23.58073260073263,235.23995971679688,0.5933503836317136
4,57.763556149732665,13.414665222167969,0.4807692307692308
5,-14.89346323529412,250.6585693359375,0.6444444444444445
1,-29.764689863842648,594.795654296875,0.13727678571428573
2,9.619615720524052,418.5125732421875,0.5063025210084033
3,-7.111631474103575,541.7758178710938,0.35917312661498707
4,9.575766488413564,126.07661437988281,0.45054945054945056
5,-6.690552325581365,173.28915405273438,0.44862518089725034
1,32.79429824561406,441.3638000488281,0.35167615433270083
2,-32.44142857142859,706.2137451171875,0.7741935483870968
3,35.276666666666685,785.7977294921875,0.43532338308457713
4,-17.777036187408825,504.0191650390625,0.1339861475997134
5,11.438820766855386,681.3076782226562,0.33568548387096775
1,-11.408605769230746,146.43202209472656,0.5681233933161953
2,-31.80899999999997,296.461669921875,0.6706948640483383
3,-49.66529537366546,347.2396545410156,0.4728813559322034
4,-38.16151315789469,196.61024475097656,0.5924932975871313
5,-73.71984711350291,412.90740966796875,0.5819209039548022
1,14.783552036199126,143.81280517578125,0.6524822695035462
2,8.463661338661353,176.50106811523438,0.6658163265306123
3,21.139772481040097,479.9689025878906,0.5384615384615384
4,-27.911403301886764,242.56982421875,0.7491166077738516
5,-18.78052380952377,224.01780700683594,0.48318804483188044
1,-1.8161644535239816,271.7347717285156,0.5345132743362832
2,-28.78732740137218,387.13043212890625,0.6019900497512438
3,-79.56525862068963,858.7484130859375,0.6279461279461279
4,-4.425661473087814,298.04449462890625,0.6927083333333334
5,-36.13689217758983,356.7994689941406,0.6727642276422764
1,14.618365384615402,561.919921875,0.47160493827160493
2,10.058760188760203,251.19723510742188,0.6402877697841727
3,-55.55329666011782,729.12939453125,0.42115384615384616
4,-79.35286796536795,640.2405395507812,0.5631313131313131
5,-44.656900773195844,599.5133056640625,0.5140562248995983
1,-64.17918275154,677.8963012695312,0.4040609137055838
2,-14.483047619047625,343.8171081542969,0.5963636363636363
3,-3.864129129129111,425.8266296386719,0.6623711340206185
4,-13.473428483732334,365.3056640625,0.713527851458886
5,-76.47631224764464,681.136474609375,0.4656084656084656
1,-76.04957946635729,773.4221801757812,0.6127562642369021
2,17.94845333333336,269.3294372558594,0.5192604006163328
3,58.350857142857166,25.008108139038086,0.506426735218509
4,-25.254302731567037,469.95458984375,0.5749559082892416
5,20.789426929392476,155.57652282714844,0.585812356979405
1,-6.20588235294116,320.588623046875,0.6522727272727272
2,2.1843571428571806,257.8785705566406,0.7154929577464789
3,10.122509143155753,145.3956756591797,0.6974063400576369
4,24.812865439093486,166.53924560546875,0.6269430051813472
5,-31.79543449833571,546.1346435546875,0.43784530386740333
1,63.97738805970151,8.184711456298828,0.4024767801857585
2,44.15430353430355,38.78636169433594,0.5398936170212766
3,32.910259391771035,28.64430809020996,0.5736434108527132
4,0.5587064071370662,265.8007507324219,0.7104377104377104
5,-17.446356660527897,418.4373474121094,0.7386666666666667
1,8.294990262901678,438.6377868652344,0.39298669891172916
2,43.89883310991958,484.1558837890625,0.20270270270270271
3,27.435445205479482,289.6913757324219,0.49783549783549785
4,-48.7958970588235,644.2152099609375,0.18636911942098913
5,20.097049927113716,293.6520080566406,0.32594644506001846
1,26.122215047726,17.35470962524414,0.5328947368421053
2,-34.489752650176655,406.37042236328125,0.761744966442953
3,-25.32905575539567,371.8582763671875,0.7845117845117845
