intensity,readability,perplexity,lex_diversity,word_count,bleu
2,-78.29,862.0350341796875,0.5848822800495663,807,
3,-23.48,757.7163696289062,0.847457627118644,177,
4,-41.21,572.15234375,0.8220064724919094,309,
5,-50.96,494.1618957519531,0.7850467289719626,321,
1,7.08,231.93360900878906,0.7106227106227107,273,
2,-57.76,418.1455383300781,0.6469344608879493,473,
3,-22.4,633.4873657226562,0.6290672451193059,461,
4,-50.45,563.6075439453125,0.7617554858934169,319,
5,23.46,32.90079116821289,0.5744125326370757,383,
1,35.37,15.038753509521484,0.4642857142857143,364,
2,47.08,22.310516357421875,0.4952681388012618,317,
3,16.32,19.230863571166992,0.5726744186046512,344,
4,-61.61,556.8905029296875,0.5322862129144852,573,
5,-48.58,595.4375610351562,0.5351851851851852,540,
1,6.85,520.4034423828125,0.696969696969697,429,
2,-22.87,284.0097961425781,0.7016393442622951,305,
3,5.5,276.7137145996094,0.7166666666666667,240,
4,4.44,319.99603271484375,0.7090069284064665,433,
5,28.0,43.5475959777832,0.5695876288659794,388,
1,-17.12,176.14517211914062,0.6336898395721925,374,
2,-94.16,926.4016723632812,0.6623711340206185,388,
3,-36.95,462.7820129394531,0.5143312101910829,628,
4,-36.0,383.4600524902344,0.7412060301507538,398,
5,3.19,48.283447265625,0.6126373626373627,364,
1,-24.39,521.2219848632812,0.5136116152450091,551,
2,20.11,11.14613151550293,0.521978021978022,364,
3,-0.78,73.11424255371094,0.6546546546546547,333,
4,9.93,167.3237762451172,0.6445783132530121,332,
5,-68.92,586.0658569335938,0.6894736842105263,380,
1,24.45,423.895751953125,0.6419294990723562,539,
2,1.81,105.87232208251953,0.5944272445820433,323,
3,-33.6,518.5117797851562,0.7627627627627628,333,
4,-0.23,238.0091552734375,0.7654723127035831,307,
5,-24.93,288.7363586425781,0.7917981072555205,317,
1,-25.31,224.8729248046875,0.672289156626506,415,
2,-20.44,449.9837341308594,0.780281690140845,355,
3,18.52,212.7796630859375,0.672093023255814,430,
4,-20.03,176.1907958984375,0.7493540051679587,387,
5,-15.16,465.7165222167969,0.7932098765432098,324,
1,-4.23,338.75408935546875,0.6844349680170576,469,
2,0.5,277.1648254394531,0.28477905073649756,1222,
3,20.93,316.9391784667969,0.4763636363636364,550,
4,-41.75,743.4520874023438,0.6666666666666666,540,
5,31.69,435.5242614746094,0.28007402837754475,1621,
1,-97.4,426.2908630371094,0.08771186440677967,4720,
2,-12.34,698.858642578125,0.5536723163841808,531,
3,-46.34,589.3221435546875,0.2533427163969036,1421,
4,25.56,600.3594970703125,0.7733333333333333,300,
5,-22.5,722.780517578125,0.7076167076167076,407,
1,-4.26,332.6534423828125,0.6771428571428572,350,
2,-50.14,744.3097534179688,0.19398114575779551,2758,
3,-1.51,554.9024658203125,0.14494988434849654,2594,
4,-16.27,510.4895324707031,0.6898148148148148,432,
5,-14.99,189.42962646484375,0.7490636704119851,267,
1,-30.71,810.5897216796875,0.5759368836291914,507,
2,-80.82,750.75146484375,0.2976897689768977,1515,
3,-99.92,412.99072265625,0.7824858757062146,354,
4,-43.99,864.1005859375,0.7024608501118568,447,
5,-8.29,436.236328125,0.7733333333333333,300,
1,24.37,14.275741577148438,0.44987775061124696,409,
