intensity,readability,perplexity,lex_diversity,word_count,bleu
4,1.58,503.49261474609375,0.4817204301075269,465,
5,4.44,211.39578247070312,0.7378048780487805,328,
1,-19.92,507.9150695800781,0.4052173913043478,575,
2,35.81,18.723793029785156,0.5753012048192772,332,
3,23.46,27.358823776245117,0.603125,320,
4,2.69,423.3114013671875,0.612280701754386,570,
5,0.45,205.39735412597656,0.7267441860465116,344,
1,-68.17,504.056884765625,0.26976744186046514,1720,
2,-4.84,158.6602020263672,0.654627539503386,443,
3,-7.17,456.6383972167969,0.7647058823529411,323,
4,-17.59,477.1939392089844,0.6467391304347826,552,
5,-10.42,455.4022216796875,0.7443820224719101,356,
1,-28.21,551.494384765625,0.49118046132971505,737,
2,-13.97,698.0543212890625,0.721868365180467,471,
3,-11.2,367.2781066894531,0.7551622418879056,339,
4,-4.63,707.6116333007812,0.5991440798858774,701,
5,-52.85,672.9410400390625,0.4180602006688963,897,
1,-24.36,476.51702880859375,0.6122448979591837,490,
2,-3.85,255.83172607421875,0.5461847389558233,498,
3,16.97,182.938720703125,0.5064220183486239,545,
4,32.8,286.9891357421875,0.6282051282051282,468,
5,49.69,336.2908630371094,0.6128133704735376,359,
1,39.54,204.21188354492188,0.5371287128712872,404,
2,-6.89,269.08197021484375,0.5010660980810234,469,
3,40.05,403.0557556152344,0.6507042253521127,355,
4,49.55,24.94166374206543,0.5382436260623229,353,
5,-11.02,647.1666259765625,0.545144804088586,587,
1,-1.05,422.04046630859375,0.7654723127035831,307,
2,-13.09,582.4391479492188,0.6219281663516069,529,
3,-8.38,541.4847412109375,0.4775641025641026,624,
4,19.74,45.96672821044922,0.5525773195876289,485,
5,-13.66,646.5192260742188,0.6707920792079208,404,
1,-4.7,120.66940307617188,0.701058201058201,378,
2,26.68,303.6905212402344,0.6934673366834171,398,
3,-18.16,266.56561279296875,0.5909878682842288,577,
4,-46.35,642.9232788085938,0.47110552763819097,796,
5,-26.42,494.29742431640625,0.6530214424951267,513,
1,43.06,58.90945816040039,0.5608591885441527,419,
2,5.19,302.47637939453125,0.6382978723404256,282,
3,19.3,337.9166259765625,0.5016025641025641,624,
4,25.02,69.05256652832031,0.6790540540540541,296,
5,34.29,563.6427612304688,0.7429577464788732,284,
1,43.32,34.349632263183594,0.581081081081081,296,
2,-15.53,307.3545837402344,0.5800653594771242,612,
3,-27.67,329.1426086425781,0.7293233082706767,399,
4,-59.24,677.5711669921875,0.6396011396011396,702,
5,-50.61,734.8179321289062,0.39660657476139977,943,
1,37.44,18.55893898010254,0.5297619047619048,336,
2,-19.62,396.0689697265625,0.6347826086956522,460,
3,20.52,30.925453186035156,0.5911458333333334,384,
4,-16.03,865.4556274414062,0.49737118822292326,951,
5,-45.87,734.0541381835938,0.5142231947483589,914,
1,15.48,286.2530212402344,0.6474358974358975,468,
2,-34.47,568.8712768554688,0.3473325766174801,881,
3,4.07,248.1151885986328,0.6807387862796834,379,
4,-10.75,818.0184326171875,0.6429980276134122,507,
5,-22.73,511.9043273925781,0.2517857142857143,1120,
1,27.96,63.12532424926758,0.5317460317460317,378,
2,80.41,218.63912963867188,0.08461243284727551,5212,
3,10.27,331.7576599121094,0.24120171673819743,1165,
4,11.35,198.34341430664062,0.4082687338501292,774,
5,44.64,102.76720428466797,0.6452991452991453,234,
1,72.46,10.574484825134277,0.4700854700854701,351,
2,7.77,269.7757263183594,0.4507628294036061,721,
3,42.48,112.79420471191406,0.6666666666666666,339,
4,40.62,76.98468017578125,0.7027027027027027,222,
5,12.1,471.5984802246094,0.5716723549488054,586,
1,-62.42,445.5754699707031,0.6230636833046471,581,
2,8.98,261.85540771484375,0.7252747252747253,364,
3,-3.69,349.2415771484375,0.6277372262773723,411,
4,47.42,16.016687393188477,0.5386996904024768,323,
5,-45.67,730.9545288085938,0.5480314960629922,635,
1,8.84,349.6446533203125,0.47417840375586856,852,
2,14.9,286.74346923828125,0.6602209944751382,362,
3,2.48,119.20204162597656,0.7457627118644068,295,
4,-120.99,510.499755859375,0.2106812447434819,2378,
5,-143.01,608.8372802734375,0.5301204819277109,747,
1,-1.89,249.16232299804688,0.7824561403508772,285,
2,-41.28,674.9588623046875,0.911504424778761,226,
3,-11.2,380.8598327636719,0.7222222222222222,342,
4,3.67,284.82366943359375,0.7299703264094956,337,
5,-29.39,620.4610595703125,0.6656441717791411,326,
1,-34.34,203.74559020996094,0.6513513513513514,370,
2,-77.03,495.44659423828125,0.3578231292517007,735,
3,-93.76,937.3848266601562,0.49558823529411766,680,
4,-60.91,585.094970703125,0.6954314720812182,394,
5,-58.81,590.9370727539062,0.7304964539007093,282,
1,-8.35,639.3783569335938,0.5863453815261044,498,
2,-38.03,567.5685424804688,0.6851385390428212,397,
3,-11.57,522.9072875976562,0.6375198728139905,629,
4,77.0,546.856689453125,0.5829596412556054,446,
5,-24.62,880.2464599609375,0.20271580989330748,2062,
1,2.28,348.5810852050781,0.6755852842809364,299,
2,-91.55,554.1071166992188,0.5341726618705036,556,
3,-136.76,954.2176513671875,0.5114754098360655,610,
4,-230.29,540.1321411132812,0.21343349536014142,2263,
5,-19.66,654.559814453125,0.6350515463917525,485,
1,-5.54,442.32623291015625,0.24094881398252185,1602,
2,15.07,211.44154357910156,0.7352112676056338,355,
3,29.82,567.9337768554688,0.6513994910941476,393,
4,-59.18,752.2349853515625,0.4218551461245235,787,
5,35.78,52.93372344970703,0.6049046321525886,367,
1,-3.31,303.38397216796875,0.7705479452054794,292,
2,7.09,552.5872802734375,0.6636690647482014,556,
3,2.42,389.6688232421875,0.5991678224687933,721,
4,34.12,436.0483093261719,0.7321428571428571,336,
5,-2.54,315.0107727050781,0.7874396135265701,207,
